,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,Date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
151,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,21878,1223125,6000,321429,27878,1544554
152,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,2852,825176,11,117723,2863,942899
153,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,13269,352011,5982,81490,19251,433501
154,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,7236,63150,1527,36847,8763,99997
155,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,1438,33324,2,11,1440,33335
156,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,14,5417730,20,4620229,34,10037959
157,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,7934,5235712,23376,4211100,31310,9446812
158,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,35599,4788104,16951,3678984,52550,8467088
159,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,4305,4228084,13224,3111016,17529,7339100
160,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,10450,3993690,49431,1938994,59881,5932684
161,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,17699,3465428,1261,869925,18960,4335353
162,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,42912,2292365,9505,571165,52417,2863530
163,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,5603,1302222,3597,361116,9200,1663338
164,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,6850,943069,27,127641,6877,1070710
165,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,13022,415081,2280,94595,15302,509676
166,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,9295,121099,1520,41201,10815,162300
167,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,1059,37972,1032,5974,2091,43946
168,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,3064,5389375,7814,4559723,10878,9949098
169,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,8941,5188863,28298,4076676,37239,9265539
170,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,41165,4539103,16980,3586738,58145,8125841
171,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,4976,4166116,28539,2912712,33515,7078828
172,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,14791,3905617,46561,1657862,61352,5563479
173,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,18693,3201838,5141,785026,23834,3986864
174,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,50487,2074010,6549,539661,57036,2613671
175,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,21878,1223125,6000,321429,27878,1544554
176,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,2852,825176,11,117723,2863,942899
177,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,13269,352011,5982,81490,19251,433501
178,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,7236,63150,1527,36847,8763,99997
